DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2014,84.75,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2015,85.46,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2016,84.86,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2017,84.04,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2018,83.34,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2019,84.15,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2020,86.08,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2021,86.14,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2022,80.14,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2023,73.51,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Austria,2024,67.89,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2014,96.50,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2015,98.97,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2016,99.77,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2017,100.70,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2018,101.17,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2019,103.06,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2020,105.22,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2021,105.32,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2022,100.88,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2023,94.89,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Belgium,2024,94.84,p,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2014,40.14,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2015,38.01,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2016,37.98,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2017,37.72,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2018,37.36,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2019,39.25,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2020,42.10,,
ESTAT:TEC00104(1.0),27/07/26 11:00:00,Annual,Percentage,Households; non-profit institutions serving households,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)",Bulgaria,2021,43.24,,
