DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2014,24835,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2015,25112,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2016,25537,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2017,25793,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2018,26444,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2019,26744,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2020,26778,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2021,29103,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2022,31547,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2023,32639,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Austria,2024,34443,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2014,23730,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2015,23973,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2016,24062,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2017,24575,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2018,25193,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2019,26103,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2020,26675,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2021,27901,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2022,29742,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,Annual,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",Paid,"Adjusted disposable income, gross",Households; non-profit institutions serving households,Belgium,2023,31962,,
